Time,UTC time,Year,Month,Day,Day of week text),Day of year,Hours,Min,Seconds,Time of the day hhminsec,Mins since midnight,Sensor nr,Long (deg),Lat (deg),Altitude (m),Traffic Flow (cars/min)
1661987312,2022-08-31T23:08:32,2022,9,1,Th,244,0,8,32,832,8,[SCC]1YMD2,-1.48421975,53.38098528,103.438,7.2
1661987611,2022-08-31T23:13:31,2022,9,1,Th,244,0,13,31,1331,13,[SCC]1YMD2,-1.48421975,53.38098528,103.438,6.4
1661987911,2022-08-31T23:18:31,2022,9,1,Th,244,0,18,31,1831,18,[SCC]1YMD2,-1.48421975,53.38098528,103.438,4.8
1661988211,2022-08-31T23:23:31,2022,9,1,Th,244,0,23,31,2331,23,[SCC]1YMD2,-1.48421975,53.38098528,103.438,3.2
1661988511,2022-08-31T23:28:31,2022,9,1,Th,244,0,28,31,2831,28,[SCC]1YMD2,-1.48421975,53.38098528,103.438,2.4
1661988811,2022-08-31T23:33:31,2022,9,1,Th,244,0,33,31,3331,33,[SCC]1YMD2,-1.48421975,53.38098528,103.438,3.2
1661989111,2022-08-31T23:38:31,2022,9,1,Th,244,0,38,31,3831,38,[SCC]1YMD2,-1.48421975,53.38098528,103.438,4.8
1661989411,2022-08-31T23:43:31,2022,9,1,Th,244,0,43,31,4331,43,[SCC]1YMD2,-1.48421975,53.38098528,103.438,3.2
1661989711,2022-08-31T23:48:31,2022,9,1,Th,244,0,48,31,4831,48,[SCC]1YMD2,-1.48421975,53.38098528,103.438,4
1661990011,2022-08-31T23:53:31,2022,9,1,Th,244,0,53,31,5331,53,[SCC]1YMD2,-1.48421975,53.38098528,103.438,3.2
1661990313,2022-08-31T23:58:33,2022,9,1,Th,244,0,58,33,5833,58,[SCC]1YMD2,-1.48421975,53.38098528,103.438,3.2
1661990612,2022-09-01T00:03:32,2022,9,1,Th,244,1,3,32,10332,63,[SCC]1YMD2,-1.48421975,53.38098528,103.438,2.4
1661990912,2022-09-01T00:08:32,2022,9,1,Th,244,1,8,32,10832,68,[SCC]1YMD2,-1.48421975,53.38098528,103.438,2.4
1661991211,2022-09-01T00:13:31,2022,9,1,Th,244,1,13,31,11331,73,[SCC]1YMD2,-1.48421975,53.38098528,103.438,4
1661991511,2022-09-01T00:18:31,2022,9,1,Th,244,1,18,31,11831,78,[SCC]1YMD2,-1.48421975,53.38098528,103.438,3.2
1661991811,2022-09-01T00:23:31,2022,9,1,Th,244,1,23,31,12331,83,[SCC]1YMD2,-1.48421975,53.38098528,103.438,3.2
1661992111,2022-09-01T00:28:31,2022,9,1,Th,244,1,28,31,12831,88,[SCC]1YMD2,-1.48421975,53.38098528,103.438,2.4
1661992411,2022-09-01T00:33:31,2022,9,1,Th,244,1,33,31,13331,93,[SCC]1YMD2,-1.48421975,53.38098528,103.438,1.6
1661992711,2022-09-01T00:38:31,2022,9,1,Th,244,1,38,31,13831,98,[SCC]1YMD2,-1.48421975,53.38098528,103.438,1.6
1661993011,2022-09-01T00:43:31,2022,9,1,Th,244,1,43,31,14331,103,[SCC]1YMD2,-1.48421975,53.38098528,103.438,3.2
1661993311,2022-09-01T00:48:31,2022,9,1,Th,244,1,48,31,14831,108,[SCC]1YMD2,-1.48421975,53.38098528,103.438,2.4
1661993611,2022-09-01T00:53:31,2022,9,1,Th,244,1,53,31,15331,113,[SCC]1YMD2,-1.48421975,53.38098528,103.438,1.6
1661993912,2022-09-01T00:58:32,2022,9,1,Th,244,1,58,32,15832,118,[SCC]1YMD2,-1.48421975,53.38098528,103.438,0.8
1661994211,2022-09-01T01:03:31,2022,9,1,Th,244,2,3,31,20331,123,[SCC]1YMD2,-1.48421975,53.38098528,103.438,1.6
1661994511,2022-09-01T01:08:31,2022,9,1,Th,244,2,8,31,20831,128,[SCC]1YMD2,-1.48421975,53.38098528,103.438,1.6
1661994811,2022-09-01T01:13:31,2022,9,1,Th,244,2,13,31,21331,133,[SCC]1YMD2,-1.48421975,53.38098528,103.438,1.6
1661995111,2022-09-01T01:18:31,2022,9,1,Th,244,2,18,31,21831,138,[SCC]1YMD2,-1.48421975,53.38098528,103.438,0.8
1661995411,2022-09-01T01:23:31,2022,9,1,Th,244,2,23,31,22331,143,[SCC]1YMD2,-1.48421975,53.38098528,103.438,2.4
1661995711,2022-09-01T01:28:31,2022,9,1,Th,244,2,28,31,22831,148,[SCC]1YMD2,-1.48421975,53.38098528,103.438,2.4
1661996011,2022-09-01T01:33:31,2022,9,1,Th,244,2,33,31,23331,153,[SCC]1YMD2,-1.48421975,53.38098528,103.438,1.6
